Field=#~Integer~#~50|Field=Comment~String~Comment~101|Field=Datasheet Link~String~Datasheet Link~101|Field=Description~String~Description~101|Field=Designator~String~Designator~101|Field=Manufacturer_Part_Number~String~Manufacturer_Part_Number~101|Field=Quantity~Integer~Quantity~101|Field=Value~String~Value~101|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Bhishma.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\Bhishma\Bhishma.PrjPcb|ReportField=Title~Bill of Materials For Project [Bhishma.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~183|ReportField=ReportTime~6:19:45 AM|ReportField=ReportDate~10/20/2019|ReportField=ReportDateTime~10/20/2019 6:19:45 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Boulder|ReportField=Address2~Bhishma|ReportField=Address3~Low Power Embedded|ReportField=Address4~Design Techniques|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/20/2019|ReportField=CurrentTime~6:03:12 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\Bhishma\Block Diagram.SchDoc|ReportField=DocumentName~Block Diagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/20/2019|ReportField=Organization~University of Colorado|ReportField=ProjectName~Bhishma.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~Block Diagram|ReportField=DataSourceFileName~Bhishma.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Bhishma\Bhishma.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
28|710-691508110302|https://www.mouser.com/datasheet/2/445/6915081103xx-469297.pdf|5081 Series 3.5mm Pitch Horizontal, PCBTerminal Block, Surface Mount, 2 Way|J3, J4, J5, J7, J8|691508110302|5|
29|538-87898-0306|http://www.molex.com/pdm_docs/sd/878980306_sd.pdf|Connector|J6|87898-0306|1|
30|200-FTSH10501FDVK|http://suddendocs.samtec.com/prints/ftsh-1xx-xx-xxx-dv-xxx-xxx-mkt.pdf|Connector|J101, J401|FTSH-105-01-F-DV-K|2|
31|538-87898-0424|https://componentsearchengine.com/Datasheets/1/87898-0424.pdf|Connector|J103, J402|87898-0424|2|
32|538-87898-0204|https://www.molex.com/pdm_docs/sd/878980204_sd.pdf|Connector|J104, J105, J404, J405|87898-0204|4|
33|810-SLF6028T-4R7M|https://product.tdk.com/info/en/document/catalog/smd/inductor_commercial_power_slf6028_en.pdf|Inductor|L1, L2|SLF6028T-4R7M1R6-PF|2|4.7uH
34||https://psearch.en.murata.com/inductor/product/LQP03TQ1N9C02%23.html|Inductor|L101, L102, L401, L402|LQP03TQ1N9C02D|4|1.9nH
35|810-KLZ1608MHR4R7WTD|http://www.mouser.com/datasheet/2/400/nductor_automotive_decoupling_klz1608-hr_en-1108665.pdf|Inductor|L103, L403|KLZ1608MHR4R7WTD25|2|4.7uH
36|81-BLM11A601S|https://www.murata.com/en-us/products/productdetail?partno=BLM18AG601SN1%23|Filter|L104, L105, L404, L405|BLM18AG601SN1D|4|
37|710-74279266|http://uk.rs-online.com/web/p/products/3674856|Ferrite Bead|L106, L406|74279266|2|CBF102WB
38|630-HSMC-C190|http://www.mouser.hk/ProductDetail/Broadcom-Avago/HSMC-C190/?qs=YDL0qNrpDT4TTmzDJNXHWQ==|LED|LED1, LED2|HSMC-C190|2|
39|798-U.FL-R-SMT-110|https://www.hirose.com/product/en/download_file/key_name/U.FL-R-SMT-1%2810%29/category/Drawing%20(2D)/doc_file_id/37627/?file_category_id=6&item_id=03310472210&is_series=|Connector|P101, P401|U.FL-R-SMT-1(10)|2|
40|709-IRM03-3.3S|https://www.meanwell.com/Upload/PDF/IRM-03/IRM-03-SPEC.PDF|Power Supply|PS1|IRM-03-3.3S|1|IRM-03-3.3S
